Year,Population Increase
31536000,48941312.0
31536000,49137152.0
31536000,58316032.0
31536000,69092608.0
31536000,71432960.0
31536000,69899776.0
31536000,69304832.0
31536000,69031168.0
31536000,71362816.0
31536000,73844480.0
31536000,74734848.0
31536000,74772992.0
31536000,74637568.0
31536000,75450624.0
31536000,75265536.0
31536000,73920256.0
31536000,73068544.0
31536000,73266688.0
31536000,73885184.0
31536000,75925248.0
31536000,78425088.0
31536000,80619520.0
31536000,83357184.0
31536000,83899392.0
31536000,83952128.0
31536000,85894656.0
31536000,88332288.0
31536000,90921472.0
31536000,91309568.0
31536000,91409920.0
31536000,92471808.0
31536000,90070016.0
31536000,86440448.0
31536000,84747264.0
31536000,83294208.0
31536000,82491904.0
31536000,81925632.0
31536000,81335808.0
31536000,80831488.0
31536000,80445952.0
31536000,81140224.0
31536000,81848320.0
31536000,81660416.0
31536000,81490944.0
31536000,81852928.0
31536000,82424832.0
31536000,83239936.0
31536000,84532224.0
31536000,85648896.0
31536000,86708736.0
31536000,87297024.0
31536000,87522304.0
31536000,88572416.0
31536000,88895488.0
31536000,88420352.0
31536000,87583744.0
31536000,86876672.0
31536000,86348288.0
31536000,83967488.0
31536000,81161216.0
31536000,76001792.0
31536000,68342272.0
8074956,18623721.0
8074961,18623733.0
8074967,18623746.0
8074972,18623759.0
8074977,18623770.0
8074983,18623783.0
8074988,18623795.0
8074993,18623808.0
8074999,18623820.0
8075004,18623832.0
8075009,18623845.0
8075015,18623858.0
8075020,18623869.0
8075025,18623882.0
8075030,18623894.0
8075036,18623907.0
8075041,18623920.0
8075046,18623931.0
8075052,18623944.0
8075057,18623956.0
8075062,18623969.0
8075068,18623981.0
8075073,18623993.0
8075078,18624006.0
8075084,18624018.0
8075089,18624031.0
8075094,18624043.0
8075099,18624055.0
8075105,18624068.0
8075110,18624081.0
8075115,18624092.0
8075121,18624105.0
8075126,18624117.0
8075131,18624130.0
8075137,18624142.0
8075142,18624154.0
8075147,18624167.0
8075153,18624179.0
8075158,18624192.0
8075163,18624204.0
8075169,18624217.0
8075174,18624229.0
8075179,18624241.0
8075185,18624254.0
8075190,18624266.0
8075195,18624279.0
8075201,18624291.0
8075206,18624303.0
8075211,18624316.0
8075216,18624329.0
8075222,18624340.0
