Population Increase,"Total Renewable (TWh, direct energy)","Total Fossil Fuel (TWh, direct energy)"
12295431.0,14.0,3978.0
13774011.0,17.0,5973.0
15724988.0,33.0,9195.0
17031792.0,64.0,10955.0
22082664.0,131.0,12484.0
24387955.0,192.0,15114.0
36080041.0,333.0,20139.0
48941312.0,689.0,31011.0
69899776.0,941.183291,40440.5347
69304832.0,1003.622967,42545.5728
69031168.0,1025.72897,44179.187
71362816.0,1081.408745,46844.6254
73844480.0,1145.000365,49995.746
74734848.0,1200.351597,53193.803
74772992.0,1255.130494,55280.082
74637568.0,1314.517775,58160.071
75450624.0,1335.10885,61606.282
75265536.0,1465.520785,61462.717
73920256.0,1483.69548,61431.202
73068544.0,1481.92765,64824.954
73266688.0,1532.56444,66961.455
73885184.0,1657.68195,69301.876
75925248.0,1741.691456,71595.827
78425088.0,1781.377264,70619.704
80619520.0,1822.40027,69813.593
83357184.0,1862.635554,69063.255
83899392.0,1946.159625,69706.792
83952128.0,2017.770617,72583.888
85894656.0,2058.016148,73917.146
88332288.0,2091.658495,75392.047
90921472.0,2124.9044,77898.681
91309568.0,2192.847486,80607.437
91409920.0,2195.16536,82268.393
92471808.0,2280.092171,83064.32
90070016.0,2335.54764,83294.065
86440448.0,2344.808611,83769.074
84747264.0,2483.192407,83915.758
83294208.0,2504.600153,84960.596
82491904.0,2639.229166,86531.621
81925632.0,2677.637531,89078.884
81335808.0,2735.537602,90023.977
80831488.0,2766.067912,90476.657
80445952.0,2799.418266,91940.495
81140224.0,2864.094217,94406.925
81848320.0,2810.599141,95558.997
81660416.0,2887.196905,97669.166
81490944.0,2906.984271,101887.997
81852928.0,3141.262159,106794.471
82424832.0,3275.579527,110509.383
83239936.0,3433.527025,113618.281
84532224.0,3547.080563,117489.948
85648896.0,3801.694635,118344.037
86708736.0,3883.586063,116038.72
87297024.0,4189.287682,121502.585
87522304.0,4396.64769,124557.796
88572416.0,4704.19462,126339.215
88895488.0,5026.65956,128002.845
88420352.0,5295.0489,128770.164
87583744.0,5510.87332,129421.873
86876672.0,5857.91655,130300.27
86348288.0,6247.00758,132517.437
83967488.0,6671.25925,135556.367
81161216.0,7036.75621,136105.723
76001792.0,7510.32206,129446.441
68342272.0,7953.3588,136585.128
23503004.0,272280877.706,48167769.769999996
