Year,Annual CO₂ emissions,Total CO₂ emissions,Annual Temperature Anomaly
1850,196751970,4010292562,-0.19
1851,198668110,4208960672,-0.09
1852,207414200,4416374872,-0.05
1853,217120430,4633495302,-0.11
1854,255033170,4888528472,-0.07
1855,260104400,5148632872,-0.08
1856,277296450,5425929322,-0.15
1857,279932000,5705861322,-0.2
1858,284225150,5990086472,-0.19
1859,301481250,6291567722,-0.06
1860,330962600,6622530322,-0.24
1861,347785820,6970316142,-0.3
1862,354488900,7324805042,-0.36
1863,378180160,7702985202,-0.22
1864,407725980,8110711182,-0.21
1865,432859140,8543570322,-0.09
1866,446553600,8990123922,-0.11
1867,478160740,9468284662,-0.19
1868,491551940,9959836602,-0.14
1869,521954200,10481790802,-0.06
1870,533338270,11015129072,-0.16
1871,566891300,11582020372,-0.16
1872,627301250,12209321622,-0.19
1873,666481200,12875802822,-0.2
1874,624232500,13500035322,-0.23
1875,677113860,14177149182,-0.22
1876,686780200,14863929382,-0.24
1877,700404400,15564333782,0.12
1878,705973570,16270307352,0.12
1879,755990460,17026297812,-0.14
1880,853916350,17880214162,-0.18
1881,883544060,18763758222,-0.1
1882,933360100,19697118322,-0.16
1883,992753600,20689871922,-0.19
1884,1004134100,21694006022,-0.3
1885,1011637100,22705643122,-0.29
1886,1027417500,23733060622,-0.28
1887,1078746900,24811807522,-0.34
1888,1194352600,26006160122,-0.1
1889,1194624000,27200784122,-0.05
1890,1300362400,28501146522,-0.34
1891,1361750100,29862896622,-0.22
1892,1372396500,31235293122,-0.26
1893,1355477200,32590770322,-0.33
1894,1403019100,33993789422,-0.33
1895,1487432300,35481221722,-0.22
1896,1536365600,37017587322,-0.11
1897,1609231600,38626818922,-0.09
1898,1697166300,40323985222,-0.26
1899,1853709200,42177694422,-0.15
1900,1952209500,44129903922,-0.05
1901,2016744400,46146648322,-0.11
1902,2067683800,48214332122,-0.22
1903,2254100200,50468432322,-0.36
1904,2279747300,52748179622,-0.43
1905,2427318300,55175497922,-0.25
1906,2534733000,57710230922,-0.16
1907,2888318000,60598548922,-0.34
1908,2776440800,63374989722,-0.41
1909,2890495000,66265484722,-0.42
1910,3034089700,69299574422,-0.37
1911,3079502000,72379076422,-0.4
1912,3235963600,75615040022,-0.33
1913,3506275800,79121315822,-0.32
1914,3180355600,82301671422,-0.14
1915,3134854000,85436525422,-0.08
1916,3385858300,88822383722,-0.3
1917,3540426800,92362810522,-0.43
1918,3493264100,95856074622,-0.3
1919,3029006600,98885081222,-0.23
1920,3521427500,1.02407E+11,-0.23
1921,3090096600,1.05497E+11,-0.16
1922,3240313900,1.08737E+11,-0.23
1923,3676233200,1.12413E+11,-0.25
1924,3687220200,1.161E+11,-0.23
1925,3727033600,1.19827E+11,-0.2
1926,3661030400,1.23488E+11,-0.07
1927,3996128800,1.27485E+11,-0.17
1928,3978763300,1.31463E+11,-0.16
1929,4270907600,1.35734E+11,-0.32
1930,3938598400,1.39673E+11,-0.11
1931,3519903200,1.43193E+11,-0.05
1932,3173476400,1.46366E+11,-0.12
1933,3341518300,1.49708E+11,-0.24
1934,3634241800,1.53342E+11,-0.1
1935,3814798300,1.57157E+11,-0.15
1936,4185513700,1.61342E+11,-0.11
1937,4474233000,1.65817E+11,-0.01
1938,4206901000,1.70023E+11,0.01
1939,4451247000,1.74475E+11,0.02
1940,4861346000,1.79336E+11,0.15
1941,4970814500,1.84307E+11,0.23
1942,4959586000,1.89266E+11,0.09
1943,5041694000,1.94308E+11,0.08
1944,5117908500,1.99426E+11,0.24
