Year,Annual CO₂ emissions,Total CO₂ emissions
1800,32798352.0,32798352.0
1801,31986050.0,64784402.0
1802,40310476.0,105094878.0
1803,29538506.0,134633384.0
1804,31769176.0,166402560.0
1805,31251818.0,197654378.0
1806,32704620.0,230358998.0
1807,36200652.0,266559650.0
1808,35497788.0,302057438.0
1809,36333812.0,338391250.0
1810,39492310.0,377883560.0
1811,40176680.0,418060240.0
1812,40814520.0,458874760.0
1813,41206140.0,500080900.0
1814,42226650.0,542307550.0
1815,43587264.0,585894814.0
1816,45496580.0,631391394.0
1817,49275920.0,680667314.0
1818,51392010.0,732059324.0
1819,50930170.0,782989494.0
1820,50733076.0,833722570.0
1821,52059348.0,885781918.0
1822,54021710.0,939803628.0
1823,56357760.0,996161388.0
1824,57583636.0,1053745024.0
1825,60730864.0,1114475888.0
1826,61382130.0,1175858018.0
1827,65738572.0,1241596590.0
1828,66681790.0,1308278380.0
1829,66307412.0,1374585792.0
1830,88988260.0,1463574052.0
1831,83250616.0,1546824668.0
1832,82091560.0,1628916228.0
1833,83248700.0,1712164928.0
1834,88763100.0,1800928028.0
1835,97399600.0,1898327628.0
1836,106894500.0,2005222128.0
1837,106199420.0,2111421548.0
1838,105845260.0,2217266808.0
1839,109653030.0,2326919838.0
1840,118808510.0,2445728348.0
1841,122165550.0,2567893898.0
1842,129388790.0,2697282688.0
1843,132369384.0,2829652072.0
1844,141942270.0,2971594342.0
1845,155037360.0,3126631702.0
1846,157656130.0,3284287832.0
1847,170740910.0,3455028742.0
1848,173579870.0,3628608612.0
1849,184931980.0,3813540592.0
1850,196751970.0,4010292562.0
1851,198668110.0,4208960672.0
1852,207414200.0,4416374872.0
1853,217120430.0,4633495302.0
1854,255033170.0,4888528472.0
1855,260104400.0,5148632872.0
1856,277296450.0,5425929322.0
1857,279932000.0,5705861322.0
1858,284225150.0,5990086472.0
1859,301481250.0,6291567722.0
1860,330962600.0,6622530322.0
1861,347785820.0,6970316142.0
1862,354488900.0,7324805042.0
1863,378180160.0,7702985202.0
1864,407725980.0,8110711182.0
1865,432859140.0,8543570322.0
1866,446553600.0,8990123922.0
1867,478160740.0,9468284662.0
1868,491551940.0,9959836602.0
1869,521954200.0,10481790802.0
1870,533338270.0,11015129072.0
1871,566891300.0,11582020372.0
1872,627301250.0,12209321622.0
1873,666481200.0,12875802822.0
1874,624232500.0,13500035322.0
1875,677113860.0,14177149182.0
1876,686780200.0,14863929382.0
