Population Growth,Annual CO₂ emissions
18426820,9180374126.110168
18426832,9180379938.443365
18426843,9180385808.899902
18426855,9180391621.233112
18426867,9180397433.56633
18426878,9180403304.022884
18426890,9180409116.356115
18426902,9180414928.68935
18426913,9180420799.145926
18426925,9180426611.479174
18426937,9180432423.81243
18426949,9180438294.269024
18426960,9180444106.602291
18426972,9180449918.935568
18426984,9180455789.39218
18426995,9180461601.725468
18427007,9180467472.182095
18427019,9180473284.515392
18427030,9180479096.8487
18427043,9180484967.305344
18427054,9180490779.638664
18427065,9180496591.971987
18427078,9180502462.428654
18427089,9180508274.76199
18427100,9180514145.218668
18427113,9180519957.55202
18427124,9180525769.885374
18427135,9180531640.34207
18427148,9180537452.67544
18427159,9180543323.13215
18427171,9180549135.46553
18427183,9180555005.922255
18427194,9180560818.255648
18427206,9180566630.589048
18427218,9180572501.04579
18427229,9180578313.379204
18427241,9180584125.712622
18427253,9180589996.16938
18427265,9180595808.502815
18427276,9180601620.836252
18427288,9180607491.293034
18427300,9180613303.626484
18427311,9180619174.083277
18427323,9180624986.41674
18427335,9180630798.750212
18427346,9180636669.207024
18427358,9180642481.540504
18427370,9180648351.997332
18427381,9180654164.330826
18427394,9180659976.664328
18427405,9180665847.121172
18427416,9180671659.454687
18427429,9180677471.788208
18427440,9180683342.245071
18427451,9180689154.578604
18427464,9180694966.912144
18427475,9180700837.369028
18427487,9180706649.70258
18427499,9180712520.159473
18427510,9180718332.49304
18427522,9180724202.949945
18427534,9180730015.283524
18427545,9180735827.61711
18427557,9180741698.074034
18427569,9180747510.407633
18427580,9180753322.741236
18427592,9180759193.198181
18427604,9180765005.531797
18427616,9180770875.988758
18427627,9180776688.322386
18427639,9180782500.65602
18427651,9180788371.112999
18427662,9180794183.446646
18427674,9180799995.780298
18427686,9180805866.237297
18427697,9180811678.570961
18427710,9180817490.904633
18427721,9180823361.36165
18427732,9180829173.695335
18427745,9180834986.029028
18427756,9180840856.486065
18427767,9180846668.819769
18427780,9180852481.153479
18427791,9180858351.610535
18427802,9180864163.944258
18427815,9180869976.277988
18427826,9180875846.735062
18427838,9180881659.068804
18427850,9180887471.402552
18427861,9180893341.859646
18427873,9180899154.193405
18427885,9180905024.65051
18427896,9180910836.984283
18427908,9180916707.441404
18427920,9180922519.77519
18427932,9180928332.108984
18427943,9180934202.566124
18427955,9180940014.899927
18427967,9180945827.233742
18427978,9180951697.690897
18427990,9180957510.024723
18428002,9180963380.481892
18428013,9180969192.81573
18428025,9180975005.149572
18428037,9180980875.60676
18428048,9180986687.940617
18428061,9180992500.27448
18428072,9180998370.731688
18428083,9181004183.065563
18428096,9181009995.399445
18428107,9181015865.856672
18428118,9181021678.190569
18428130,9181027548.647806
18428142,9181033360.981712
18428154,9181039231.438967
18428165,9181045043.772884
18428177,9181050856.10681
18428189,9181056726.564083
18428200,9181062538.898022
18428212,9181068351.231966
18428224,9181074221.689257
18428235,9181080034.023214
18428247,9181085846.357178
18428259,9181091716.81449
18428270,9181097529.148466
18428283,9181103341.482449
18428294,9181109211.93978
18428305,9181115024.273773
18428318,9181120836.607777
18428329,9181126707.065125
18428340,9181132519.39914
18428353,9181138331.73316
18428364,9181144202.190527
18428376,9181150014.52456
18428388,9181155884.981941
18428399,9181161697.315989
18428411,9181167509.65004
18428423,9181173380.107439
18428434,9181179192.441507
18428446,9181185004.775578
18428458,9181190875.232996
18428469,9181196687.56708
18428481,9181202499.90117
18428493,9181208370.358608
18428505,9181214182.692713
18428516,9181219995.026823
18428528,9181225865.484278
18428540,9181231677.818401
18428551,9181237490.152529
18428563,9181243360.610004
18428575,9181249172.944147
18428586,9181254985.278292
18428599,9181260855.73579
18428610,9181266668.069948
18428621,9181272480.404116
18428634,9181278350.86163
18428645,9181284163.195808
18428656,9181290033.653336
18428669,9181295845.987526
18428680,9181301658.321726
18428691,9181307528.779272
18428704,9181313341.113482
18428715,9181319153.4477
18428727,9181325023.905266
18428739,9181330836.239494
18428750,9181336648.57373
18428762,9181342519.031317
18428774,9181348331.365566
18428785,9181354143.699821
18428797,9181360014.157425
18428809,9181365826.491692
18428820,9181371638.825968
18428832,9181377509.28359
18428844,9181383321.617874
18428855,9181389133.95217
18428867,9181395004.409811
18428879,9181400874.86746
18428891,9181406687.201773
18428902,9181412557.659433
18428914,9181418369.99376
18428926,9181424182.32809
18428937,9181430052.78577
18428950,9181435865.120113
18428961,9181441677.454466
18428972,9181447547.912165
18428985,9181453360.246525
18428996,9181459172.580896
18429007,9181465043.038614
18429020,9181470855.372995
18429031,9181476667.707386
18429043,9181482538.165123
18429055,9181488350.499523
18429066,9181494162.833931
18429078,9181500033.291689
18429090,9181505845.626108
18429101,9181511657.960533
18429113,9181517528.41831
18429125,9181523340.752747
18429136,9181529153.087193
18429148,9181535023.544987
18429160,9181540835.879446
18429172,9181546706.337254
18429183,9181552518.671722
18429195,9181558331.0062
18429207,9181564201.46403
18429218,9181570013.798515
18429230,9181575826.133015
18429242,9181581696.59086
18429253,9181587508.925367
18429265,9181593321.259884
18429277,9181599191.717749
18429288,9181605004.052275
18429300,9181610816.38681
18429312,9181616686.844696
18429323,9181622499.17924
18429335,9181628311.513794
18429347,9181634181.971699
18429358,9181639994.306261
18429371,9181645806.640835
18429382,9181651677.098759
18429393,9181657489.43334
18429406,9181663359.89128
18429417,9181669172.225876
18429429,9181675042.683825
18429441,9181680855.018435
18429452,9181686667.35305
18429464,9181692537.811018
18429476,9181698350.145647
18429488,9181704220.603626
18429499,9181710032.938269
18429511,9181715903.396263
18429523,9181721715.730915
18429534,9181727586.188921
18429546,9181733398.52359
18429558,9181739210.858261
18429569,9181745081.316286
18429581,9181750893.650974
18429593,9181756705.985666
18429604,9181762576.44371
18429617,9181768388.778414
18429628,9181774201.113125
18429639,9181780071.57119
18429652,9181785883.905912
18429663,9181791696.240643
18429674,9181797566.698727
18429686,9181803437.156816
18429698,9181809249.491564
18429710,9181815061.82632
18429721,9181820932.28443
18429733,9181826744.619196
18429745,9181832556.953972
18429756,9181838427.412098
18429768,9181844239.746885
18429780,9181850052.081676
18429791,9181855922.539824
18429803,9181861734.874628
18429815,9181867547.20944
18429826,9181873417.667606
18429839,9181879230.002432
18429850,9181885042.337265
18429861,9181890912.79545
