Year,Population
1800,985340629
1801,987628322
1802,991098738
1803,994610260
1804,998163240
1805,1001758044
1806,1005395067
1807,1009074742
1808,1012797513
1809,1016563866
1810,1022629692
1811,1027487469
1812,1033636618
1813,1040443689
1814,1047427292
1815,1054586106
1816,1061924513
1817,1069447070
1818,1077158552
1819,1084757875
1820,1093424863
1821,1099331577
1822,1106263783
1823,1113514792
1824,1120876169
1825,1128342960
1826,1135961188
1827,1143684846
1828,1151515422
1829,1158898384
1830,1166619223
1831,1172266726
1832,1178216298
1833,1183684120
1834,1189202983
1835,1194812021
1836,1200422586
1837,1206132721
1838,1211908617
1839,1217625799
1840,1224117982
1841,1228828189
1842,1234333753
1843,1239880237
1844,1245319917
1845,1250936428
1846,1256637463
1847,1262424720
1848,1268300005
1849,1273394934
1850,1278810377
1851,1280744899
1852,1282983708
1853,1284472373
1854,1286078878
1855,1287785678
1856,1289613085
1857,1291556308
1858,1293616943
1859,1296053087
1860,1300098076
1861,1302046862
1862,1305560612
1863,1309444051
1864,1313410603
1865,1317453657
1866,1321572626
1867,1325775239
1868,1330060419
1869,1334928493
1870,1341697614
1871,1346406314
1872,1353032986
1873,1360261504
1874,1367561973
1875,1374962430
1876,1382443050
1877,1389974777
1878,1397574403
1879,1405702618
1880,1415841209
1881,1423704727
1882,1433553127
1883,1444009167
1884,1454595037
1885,1465369425
1886,1476245076
1887,1487277339
1888,1498437207
1889,1509373834
1890,1521669265
1891,1530611585
1892,1540822549
1893,1550822689
1894,1560960959
1895,1571250732
1896,1581628826
1897,1592152786
1898,1602801870
1899,1614109121
1900,1627883132
1901,1638647517
1902,1651840077
1903,1665703540
1904,1679752718
1905,1693984163
1906,1708411294
1907,1723032738
1908,1737874788
1909,1752122665
1910,1767847653
1911,1778784032
1912,1791197929
1913,1803056235
1914,1815104863
1915,1827290389
1916,1839559287
1917,1851899055
1918,1864869126
1919,1878650358
1920,1895682150
1921,1908748639
1922,1924826120
1923,1941636900
1924,1958716901
1925,1976068839
1926,1993719848
1927,2011689749
1928,2029682397
1929,2048513689
1930,2070596353
1931,2088429965
1932,2109357892
1933,2131029147
1934,2152969392
1935,2175184808
1936,2197830032
1937,2220878589
1938,2244005191
1939,2266483407
1940,2290871362
1941,2307736768
1942,2326734579
1943,2344581440
1944,2362439908
1945,2380167769
1946,2397811266
1947,2416694412
1948,2437259361
1949,2463242071
1950,2499322112
1951,2543130368
1952,2590270976
1953,2640278784
1954,2691979264
1955,2746072064
1956,2801002752
1957,2857866752
1958,2916108032
1959,2970292224
1960,3019233536
1961,3068370688
1962,3126686720
1963,3195779328
1964,3267212288
1965,3337112064
1966,3406416896
1967,3475448064
1968,3546810880
1969,3620655360
1970,3695390208
1971,3770163200
1972,3844800768
1973,3920251392
1974,3995516928
1975,4069437184
1976,4142505728
1977,4215772416
1978,4289657600
1979,4365582848
1980,4444007936
1981,4524627456
1982,4607984640
1983,4691884032
1984,4775836160
1985,4861730816
1986,4950063104
1987,5040984576
1988,5132294144
1989,5223704064
1990,5316175872
1991,5406245888
1992,5492686336
1993,5577433600
1994,5660727808
1995,5743219712
1996,5825145344
1997,5906481152
1998,5987312640
1999,6067758592
2000,6148898816
2001,6230747136
2002,6312407552
2003,6393898496
2004,6475751424
2005,6558176256
2006,6641416192
2007,6725948416
2008,6811597312
2009,6898306048
2010,6985603072
2011,7073125376
2012,7161697792
2013,7250593280
2014,7339013632
2015,7426597376
2016,7513474048
2017,7599822336
2018,7683789824
2019,7764951040
2020,7840952832
2021,7909295104
