Year,Population Increase
31536000,2287693.0
31536000,3470416.0
31536000,3511522.0
31536000,3552980.0
31536000,3594804.0
31536000,3637023.0
31536000,3679675.0
31536000,3722771.0
31536000,3766353.0
31536000,6065826.0
31536000,4857777.0
31536000,6149149.0
31536000,6807071.0
31536000,6983603.0
31536000,7158814.0
31536000,7338407.0
31536000,7522557.0
31536000,7711482.0
31536000,7599323.0
31536000,8666988.0
31536000,5906714.0
31536000,6932206.0
31536000,7251009.0
31536000,7361377.0
31536000,7466791.0
31536000,7618228.0
31536000,7723658.0
31536000,7830576.0
31536000,7382962.0
31536000,7720839.0
31536000,5647503.0
31536000,5949572.0
31536000,5467822.0
31536000,5518863.0
31536000,5609038.0
31536000,5610565.0
31536000,5710135.0
31536000,5775896.0
31536000,5717182.0
31536000,6492183.0
31536000,4710207.0
31536000,5505564.0
31536000,5546484.0
31536000,5439680.0
31536000,5616511.0
31536000,5701035.0
31536000,5787257.0
31536000,5875285.0
31536000,5094929.0
31536000,5415443.0
31536000,1934522.0
31536000,2238809.0
31536000,1488665.0
31536000,1606505.0
31536000,1706800.0
31536000,1827407.0
31536000,1943223.0
31536000,2060635.0
31536000,2436144.0
31536000,4044989.0
31536000,1948786.0
31536000,3513750.0
31536000,3883439.0
31536000,3966552.0
31536000,4043054.0
31536000,4118969.0
31536000,4202613.0
31536000,4285180.0
31536000,4868074.0
31536000,6769121.0
31536000,4708700.0
31536000,6626672.0
31536000,7228518.0
31536000,7300469.0
31536000,7400457.0
31536000,7480620.0
31536000,7531727.0
31536000,7599626.0
31536000,8128215.0
31536000,10138591.0
31536000,7863518.0
31536000,9848400.0
31536000,10456040.0
31536000,10585870.0
31536000,10774388.0
31536000,10875651.0
31536000,11032263.0
31536000,11159868.0
31536000,10936627.0
31536000,12295431.0
31536000,8942320.0
31536000,10210964.0
31536000,10000140.0
31536000,10138270.0
31536000,10289773.0
31536000,10378094.0
31536000,10523960.0
31536000,10649084.0
31536000,11307251.0
31536000,13774011.0
31536000,10764385.0
31536000,13192560.0
31536000,13863463.0
31536000,14049178.0
31536000,14231445.0
31536000,14427131.0
31536000,14621444.0
31536000,14842050.0
31536000,14247877.0
31536000,15724988.0
31536000,10936379.0
31536000,12413897.0
31536000,11858306.0
31536000,12048628.0
31536000,12185526.0
31536000,12268898.0
31536000,12339768.0
31536000,12970071.0
31536000,13781232.0
31536000,17031792.0
31536000,13066489.0
31536000,16077481.0
31536000,16810780.0
31536000,17080001.0
31536000,17351938.0
31536000,17651009.0
31536000,17969901.0
31536000,17992648.0
31536000,18831292.0
31536000,22082664.0
31536000,17833612.0
31536000,20927927.0
31536000,21671255.0
31536000,21940245.0
31536000,22215416.0
31536000,22645224.0
31536000,23048557.0
31536000,23126602.0
31536000,22478216.0
31536000,24387955.0
31536000,16865406.0
31536000,18997811.0
31536000,17846861.0
31536000,17858468.0
31536000,17727861.0
31536000,17643497.0
31536000,18883146.0
31536000,20564949.0
31536000,25982710.0
31536000,36080041.0
31536000,43808256.0
31536000,47140608.0
31536000,50007808.0
31536000,51700480.0
31536000,54092800.0
31536000,54930688.0
31536000,56864000.0
31536000,58241280.0
31536000,54184192.0
31536000,48941312.0
31536000,49137152.0
31536000,58316032.0
31536000,69092608.0
31536000,71432960.0
31536000,69899776.0
31536000,69304832.0
31536000,69031168.0
31536000,71362816.0
31536000,73844480.0
31536000,74734848.0
31536000,74772992.0
31536000,74637568.0
31536000,75450624.0
31536000,75265536.0
31536000,73920256.0
31536000,73068544.0
31536000,73266688.0
31536000,73885184.0
31536000,75925248.0
31536000,78425088.0
31536000,80619520.0
31536000,83357184.0
31536000,83899392.0
31536000,83952128.0
31536000,85894656.0
31536000,88332288.0
31536000,90921472.0
31536000,91309568.0
31536000,91409920.0
31536000,92471808.0
31536000,90070016.0
31536000,86440448.0
31536000,84747264.0
31536000,83294208.0
31536000,82491904.0
31536000,81925632.0
31536000,81335808.0
31536000,80831488.0
31536000,80445952.0
31536000,81140224.0
31536000,81848320.0
31536000,81660416.0
31536000,81490944.0
31536000,81852928.0
31536000,82424832.0
31536000,83239936.0
31536000,84532224.0
31536000,85648896.0
31536000,86708736.0
31536000,87297024.0
31536000,87522304.0
31536000,88572416.0
31536000,88895488.0
31536000,88420352.0
31536000,87583744.0
31536000,86876672.0
31536000,86348288.0
31536000,83967488.0
31536000,81161216.0
31536000,76001792.0
31536000,68342272.0
