Year,Population,Annual CO₂ emissions,Total CO₂ emissions,Population Increase
1801,987628322,31986050.0,64784402.0,2287693.0
1802,991098738,40310476.0,105094878.0,3470416.0
1803,994610260,29538506.0,134633384.0,3511522.0
1804,998163240,31769176.0,166402560.0,3552980.0
1805,1001758044,31251818.0,197654378.0,3594804.0
1806,1005395067,32704620.0,230358998.0,3637023.0
1807,1009074742,36200652.0,266559650.0,3679675.0
1808,1012797513,35497788.0,302057438.0,3722771.0
1809,1016563866,36333812.0,338391250.0,3766353.0
1810,1022629692,39492310.0,377883560.0,6065826.0
1811,1027487469,40176680.0,418060240.0,4857777.0
1812,1033636618,40814520.0,458874760.0,6149149.0
1813,1040443689,41206140.0,500080900.0,6807071.0
1814,1047427292,42226650.0,542307550.0,6983603.0
1815,1054586106,43587264.0,585894814.0,7158814.0
1816,1061924513,45496580.0,631391394.0,7338407.0
1817,1069447070,49275920.0,680667314.0,7522557.0
1818,1077158552,51392010.0,732059324.0,7711482.0
1819,1084757875,50930170.0,782989494.0,7599323.0
1820,1093424863,50733076.0,833722570.0,8666988.0
1821,1099331577,52059348.0,885781918.0,5906714.0
1822,1106263783,54021710.0,939803628.0,6932206.0
1823,1113514792,56357760.0,996161388.0,7251009.0
1824,1120876169,57583636.0,1053745024.0,7361377.0
1825,1128342960,60730864.0,1114475888.0,7466791.0
1826,1135961188,61382130.0,1175858018.0,7618228.0
1827,1143684846,65738572.0,1241596590.0,7723658.0
1828,1151515422,66681790.0,1308278380.0,7830576.0
1829,1158898384,66307412.0,1374585792.0,7382962.0
1830,1166619223,88988260.0,1463574052.0,7720839.0
1831,1172266726,83250616.0,1546824668.0,5647503.0
1832,1178216298,82091560.0,1628916228.0,5949572.0
1833,1183684120,83248700.0,1712164928.0,5467822.0
1834,1189202983,88763100.0,1800928028.0,5518863.0
1835,1194812021,97399600.0,1898327628.0,5609038.0
1836,1200422586,106894500.0,2005222128.0,5610565.0
1837,1206132721,106199420.0,2111421548.0,5710135.0
1838,1211908617,105845260.0,2217266808.0,5775896.0
1839,1217625799,109653030.0,2326919838.0,5717182.0
1840,1224117982,118808510.0,2445728348.0,6492183.0
1841,1228828189,122165550.0,2567893898.0,4710207.0
1842,1234333753,129388790.0,2697282688.0,5505564.0
1843,1239880237,132369384.0,2829652072.0,5546484.0
1844,1245319917,141942270.0,2971594342.0,5439680.0
1845,1250936428,155037360.0,3126631702.0,5616511.0
1846,1256637463,157656130.0,3284287832.0,5701035.0
1847,1262424720,170740910.0,3455028742.0,5787257.0
1848,1268300005,173579870.0,3628608612.0,5875285.0
1849,1273394934,184931980.0,3813540592.0,5094929.0
1850,1278810377,196751970.0,4010292562.0,5415443.0
1851,1280744899,198668110.0,4208960672.0,1934522.0
1852,1282983708,207414200.0,4416374872.0,2238809.0
1853,1284472373,217120430.0,4633495302.0,1488665.0
1854,1286078878,255033170.0,4888528472.0,1606505.0
1855,1287785678,260104400.0,5148632872.0,1706800.0
1856,1289613085,277296450.0,5425929322.0,1827407.0
1857,1291556308,279932000.0,5705861322.0,1943223.0
1858,1293616943,284225150.0,5990086472.0,2060635.0
1859,1296053087,301481250.0,6291567722.0,2436144.0
1860,1300098076,330962600.0,6622530322.0,4044989.0
1861,1302046862,347785820.0,6970316142.0,1948786.0
1862,1305560612,354488900.0,7324805042.0,3513750.0
1863,1309444051,378180160.0,7702985202.0,3883439.0
1864,1313410603,407725980.0,8110711182.0,3966552.0
1865,1317453657,432859140.0,8543570322.0,4043054.0
1866,1321572626,446553600.0,8990123922.0,4118969.0
1867,1325775239,478160740.0,9468284662.0,4202613.0
1868,1330060419,491551940.0,9959836602.0,4285180.0
1869,1334928493,521954200.0,10481790802.0,4868074.0
1870,1341697614,533338270.0,11015129072.0,6769121.0
1871,1346406314,566891300.0,11582020372.0,4708700.0
1872,1353032986,627301250.0,12209321622.0,6626672.0
1873,1360261504,666481200.0,12875802822.0,7228518.0
1874,1367561973,624232500.0,13500035322.0,7300469.0
1875,1374962430,677113860.0,14177149182.0,7400457.0
1876,1382443050,686780200.0,14863929382.0,7480620.0
1877,1389974777,700404400.0,15564333782.0,7531727.0
1878,1397574403,705973570.0,16270307352.0,7599626.0
1879,1405702618,755990460.0,17026297812.0,8128215.0
1880,1415841209,853916350.0,17880214162.0,10138591.0
1881,1423704727,883544060.0,18763758222.0,7863518.0
1882,1433553127,933360100.0,19697118322.0,9848400.0
1883,1444009167,992753600.0,20689871922.0,10456040.0
1884,1454595037,1004134100.0,21694006022.0,10585870.0
1885,1465369425,1011637100.0,22705643122.0,10774388.0
1886,1476245076,1027417500.0,23733060622.0,10875651.0
1887,1487277339,1078746900.0,24811807522.0,11032263.0
1888,1498437207,1194352600.0,26006160122.0,11159868.0
1889,1509373834,1194624000.0,27200784122.0,10936627.0
1890,1521669265,1300362400.0,28501146522.0,12295431.0
1891,1530611585,1361750100.0,29862896622.0,8942320.0
1892,1540822549,1372396500.0,31235293122.0,10210964.0
1893,1550822689,1355477200.0,32590770322.0,10000140.0
1894,1560960959,1403019100.0,33993789422.0,10138270.0
1895,1571250732,1487432300.0,35481221722.0,10289773.0
1896,1581628826,1536365600.0,37017587322.0,10378094.0
1897,1592152786,1609231600.0,38626818922.0,10523960.0
1898,1602801870,1697166300.0,40323985222.0,10649084.0
1899,1614109121,1853709200.0,42177694422.0,11307251.0
1900,1627883132,1952209500.0,44129903922.0,13774011.0
1901,1638647517,2016744400.0,46146648322.0,10764385.0
1902,1651840077,2067683800.0,48214332122.0,13192560.0
1903,1665703540,2254100200.0,50468432322.0,13863463.0
1904,1679752718,2279747300.0,52748179622.0,14049178.0
1905,1693984163,2427318300.0,55175497922.0,14231445.0
1906,1708411294,2534733000.0,57710230922.0,14427131.0
1907,1723032738,2888318000.0,60598548922.0,14621444.0
1908,1737874788,2776440800.0,63374989722.0,14842050.0
1909,1752122665,2890495000.0,66265484722.0,14247877.0
1910,1767847653,3034089700.0,69299574422.0,15724988.0
1911,1778784032,3079502000.0,72379076422.0,10936379.0
1912,1791197929,3235963600.0,75615040022.0,12413897.0
1913,1803056235,3506275800.0,79121315822.0,11858306.0
1914,1815104863,3180355600.0,82301671422.0,12048628.0
1915,1827290389,3134854000.0,85436525422.0,12185526.0
1916,1839559287,3385858300.0,88822383722.0,12268898.0
1917,1851899055,3540426800.0,92362810522.0,12339768.0
1918,1864869126,3493264100.0,95856074622.0,12970071.0
