Population Increase,Annual CO₂ emissions
2287693.0,31986050.0
3470416.0,40310476.0
3511522.0,29538506.0
3552980.0,31769176.0
3594804.0,31251818.0
3637023.0,32704620.0
3679675.0,36200652.0
3722771.0,35497788.0
3766353.0,36333812.0
6065826.0,39492310.0
4857777.0,40176680.0
6149149.0,40814520.0
6807071.0,41206140.0
6983603.0,42226650.0
7158814.0,43587264.0
7338407.0,45496580.0
7522557.0,49275920.0
7711482.0,51392010.0
7599323.0,50930170.0
8666988.0,50733076.0
5906714.0,52059348.0
6932206.0,54021710.0
7251009.0,56357760.0
7361377.0,57583636.0
7466791.0,60730864.0
7618228.0,61382130.0
7723658.0,65738572.0
7830576.0,66681790.0
7382962.0,66307412.0
7720839.0,88988260.0
5647503.0,83250616.0
5949572.0,82091560.0
5467822.0,83248700.0
5518863.0,88763100.0
5609038.0,97399600.0
5610565.0,106894500.0
5710135.0,106199420.0
5775896.0,105845260.0
5717182.0,109653030.0
6492183.0,118808510.0
4710207.0,122165550.0
5505564.0,129388790.0
5546484.0,132369384.0
5439680.0,141942270.0
5616511.0,155037360.0
5701035.0,157656130.0
5787257.0,170740910.0
5875285.0,173579870.0
5094929.0,184931980.0
5415443.0,196751970.0
1934522.0,198668110.0
2238809.0,207414200.0
1488665.0,217120430.0
1606505.0,255033170.0
1706800.0,260104400.0
1827407.0,277296450.0
1943223.0,279932000.0
2060635.0,284225150.0
2436144.0,301481250.0
4044989.0,330962600.0
1948786.0,347785820.0
3513750.0,354488900.0
3883439.0,378180160.0
3966552.0,407725980.0
4043054.0,432859140.0
4118969.0,446553600.0
4202613.0,478160740.0
4285180.0,491551940.0
4868074.0,521954200.0
6769121.0,533338270.0
4708700.0,566891300.0
6626672.0,627301250.0
7228518.0,666481200.0
7300469.0,624232500.0
7400457.0,677113860.0
7480620.0,686780200.0
7531727.0,700404400.0
7599626.0,705973570.0
8128215.0,755990460.0
10138591.0,853916350.0
7863518.0,883544060.0
9848400.0,933360100.0
10456040.0,992753600.0
10585870.0,1004134100.0
10774388.0,1011637100.0
10875651.0,1027417500.0
11032263.0,1078746900.0
11159868.0,1194352600.0
10936627.0,1194624000.0
12295431.0,1300362400.0
8942320.0,1361750100.0
10210964.0,1372396500.0
10000140.0,1355477200.0
10138270.0,1403019100.0
10289773.0,1487432300.0
10378094.0,1536365600.0
10523960.0,1609231600.0
10649084.0,1697166300.0
11307251.0,1853709200.0
13774011.0,1952209500.0
10764385.0,2016744400.0
13192560.0,2067683800.0
13863463.0,2254100200.0
14049178.0,2279747300.0
14231445.0,2427318300.0
14427131.0,2534733000.0
14621444.0,2888318000.0
14842050.0,2776440800.0
14247877.0,2890495000.0
15724988.0,3034089700.0
10936379.0,3079502000.0
12413897.0,3235963600.0
11858306.0,3506275800.0
12048628.0,3180355600.0
12185526.0,3134854000.0
12268898.0,3385858300.0
12339768.0,3540426800.0
12970071.0,3493264100.0
13781232.0,3029006600.0
17031792.0,3521427500.0
13066489.0,3090096600.0
16077481.0,3240313900.0
16810780.0,3676233200.0
17080001.0,3687220200.0
17351938.0,3727033600.0
17651009.0,3661030400.0
17969901.0,3996128800.0
17992648.0,3978763300.0
18831292.0,4270907600.0
22082664.0,3938598400.0
17833612.0,3519903200.0
20927927.0,3173476400.0
21671255.0,3341518300.0
21940245.0,3634241800.0
22215416.0,3814798300.0
22645224.0,4185513700.0
23048557.0,4474233000.0
23126602.0,4206901000.0
22478216.0,4451247000.0
