Population,Total CO₂ emissions
987628322,64784402.0
991098738,105094878.0
994610260,134633384.0
998163240,166402560.0
1001758044,197654378.0
1005395067,230358998.0
1009074742,266559650.0
1012797513,302057438.0
1016563866,338391250.0
1022629692,377883560.0
1027487469,418060240.0
1033636618,458874760.0
1040443689,500080900.0
1047427292,542307550.0
1054586106,585894814.0
1061924513,631391394.0
1069447070,680667314.0
1077158552,732059324.0
1084757875,782989494.0
1093424863,833722570.0
1099331577,885781918.0
1106263783,939803628.0
1113514792,996161388.0
1120876169,1053745024.0
1128342960,1114475888.0
1135961188,1175858018.0
1143684846,1241596590.0
1151515422,1308278380.0
1158898384,1374585792.0
1166619223,1463574052.0
1172266726,1546824668.0
1178216298,1628916228.0
1183684120,1712164928.0
1189202983,1800928028.0
1194812021,1898327628.0
1200422586,2005222128.0
1206132721,2111421548.0
1211908617,2217266808.0
1217625799,2326919838.0
1224117982,2445728348.0
1228828189,2567893898.0
1234333753,2697282688.0
1239880237,2829652072.0
1245319917,2971594342.0
1250936428,3126631702.0
1256637463,3284287832.0
1262424720,3455028742.0
1268300005,3628608612.0
1273394934,3813540592.0
1278810377,4010292562.0
1280744899,4208960672.0
1282983708,4416374872.0
1284472373,4633495302.0
1286078878,4888528472.0
1287785678,5148632872.0
1289613085,5425929322.0
1291556308,5705861322.0
1293616943,5990086472.0
1296053087,6291567722.0
1300098076,6622530322.0
1302046862,6970316142.0
1305560612,7324805042.0
1309444051,7702985202.0
1313410603,8110711182.0
1317453657,8543570322.0
1321572626,8990123922.0
1325775239,9468284662.0
1330060419,9959836602.0
1334928493,10481790802.0
1341697614,11015129072.0
1346406314,11582020372.0
1353032986,12209321622.0
1360261504,12875802822.0
1367561973,13500035322.0
1374962430,14177149182.0
1382443050,14863929382.0
1389974777,15564333782.0
1397574403,16270307352.0
1405702618,17026297812.0
1415841209,17880214162.0
1423704727,18763758222.0
1433553127,19697118322.0
1444009167,20689871922.0
1454595037,21694006022.0
1465369425,22705643122.0
1476245076,23733060622.0
1487277339,24811807522.0
1498437207,26006160122.0
1509373834,27200784122.0
1521669265,28501146522.0
1530611585,29862896622.0
1540822549,31235293122.0
1550822689,32590770322.0
1560960959,33993789422.0
1571250732,35481221722.0
1581628826,37017587322.0
1592152786,38626818922.0
1602801870,40323985222.0
1614109121,42177694422.0
1627883132,44129903922.0
1638647517,46146648322.0
1651840077,48214332122.0
1665703540,50468432322.0
1679752718,52748179622.0
1693984163,55175497922.0
1708411294,57710230922.0
1723032738,60598548922.0
1737874788,63374989722.0
1752122665,66265484722.0
1767847653,69299574422.0
1778784032,72379076422.0
1791197929,75615040022.0
1803056235,79121315822.0
1815104863,82301671422.0
1827290389,85436525422.0
1839559287,88822383722.0
1851899055,92362810522.0
1864869126,95856074622.0
1878650358,98885081222.0
1895682150,102406508722.0
1908748639,105496605322.0
1924826120,108736919222.0
1941636900,112413152422.0
1958716901,116100372622.0
1976068839,119827406222.0
1993719848,123488436622.0
2011689749,127484565422.0
2029682397,131463328722.0
2048513689,135734236322.0
2070596353,139672834722.0
2088429965,143192737922.0
2109357892,146366214322.0
2131029147,149707732622.0
2152969392,153341974422.0
2175184808,157156772722.0
2197830032,161342286422.0
2220878589,165816519422.0
2244005191,170023420422.0
2266483407,174474667422.0
2290871362,179336013422.0
2307736768,184306827922.0
2326734579,189266413922.0
2344581440,194308107922.0
2362439908,199426016422.0
2380167769,203683152422.0
2397811266,208329275922.0
2416694412,213475057922.0
2437259361,218900010922.0
2463242071,224081016922.0
2499322112,230010358922.0
2543130368,236391764622.0
2590270976,242859201622.0
2640278784,249510063222.0
2691979264,256299560522.0
2746072064,263743421522.0
2801002752,271669402222.0
2857866752,279855016222.0
2916108032,288272176222.0
2970292224,297126838222.0
3019233536,306513259222.0
3068370688,315927642222.0
3126686720,325674198222.0
3195779328,335940244222.0
3267212288,346763863222.0
3337112064,358073553222.0
3406416896,369935261222.0
3475448064,382171589222.0
3546810880,395075925222.0
3620655360,408836765222.0
3695390208,423734922222.0
3770163200,439237709222.0
3844800768,455461149222.0
3920251392,472544649222.0
3995516928,489554031222.0
4069437184,506604010222.0
4142505728,524589253222.0
4215772416,543083905222.0
4289657600,562147860222.0
4365582848,581750861222.0
4444007936,601233303222.0
4524627456,620250253222.0
4607984640,639115626222.0
4691884032,658101526222.0
4775836160,677743256222.0
4861730816,698048388222.0
4950063104,718655903222.0
5040984576,739901687222.0
5132294144,761979072222.0
5223704064,784358042222.0
5316175872,807110742222.0
5406245888,830340217222.0
5492686336,852907416222.0
5577433600,875705766222.0
5660727808,898740542222.0
5743219712,922265033222.0
5825145344,946515194222.0
5906481152,970911146222.0
5987312640,995242091222.0
6067758592,1020075586222.0
6148898816,1045576872222.0
6230747136,1071251802222.0
6312407552,1097500090222.0
6393898496,1125148740222.0
6475751424,1153768934222.0
6558176256,1183361037222.0
6641416192,1213966804222.0
6725948416,1245466539222.0
6811597312,1277508441222.0
6898306048,1309001706222.0
6985603072,1342308036222.0
7073125376,1376744506222.0
7161697792,1411679956222.0
7250593280,1446912426222.0
7339013632,1482378621222.0
7426597376,1517841834222.0
7513474048,1553301860222.0
7599822336,1589327315222.0
7683789824,1626094260222.0
7764951040,1663134363222.0
7840952832,1698142101222.0
7909295104,1734958645222.0
