Population,Total CO₂ emissions
2543130400.0,12310747700.0
2590271000.0,18778184700.0
2640278800.0,25429046300.0
2691979300.0,32218543600.0
2746072000.0,39662404600.0
2801002800.0,47588385300.0
2857866800.0,55773999300.0
2916108000.0,64191159300.0
2970292200.0,73045821300.0
3019233500.0,82432242300.0
3068370700.0,91846625300.0
3126686700.0,101593181300.0
3195779300.0,111859227300.0
3267212300.0,122682846300.0
3337112000.0,133992536300.0
3406417000.0,145854244300.0
3475448000.0,158090572300.0
3546811000.0,170994908300.0
3620655400.0,184755748300.0
3695390200.0,199653905300.0
3770163200.0,215156692300.0
3844800800.0,231380132300.0
3920251400.0,248463632300.0
3995517000.0,265473014300.0
4069437200.0,282522993300.0
4142505700.0,300508236300.0
4215772400.0,319002888300.0
4289657600.0,338066843300.0
4365583000.0,357669844300.0
4444008000.0,377152286300.0
4524627500.0,396169236300.0
4607984600.0,415034609300.0
4691884000.0,434020509300.0
4775836000.0,453662239300.0
4861731000.0,473967371300.0
4950063000.0,494574886300.0
5040984600.0,515820670300.0
5132294000.0,537898055300.0
5223704000.0,560277025300.0
5316176000.0,583029725300.0
5406246000.0,606259200300.0
5492686300.0,628826399300.0
5577433600.0,651624749300.0
5660728000.0,674659525300.0
5743219700.0,698184016300.0
5825145300.0,722434177300.0
5906481000.0,746830129300.0
5987312600.0,771161074300.0
6067758600.0,795994569300.0
6148899000.0,821495855300.0
6230747000.0,847170785300.0
6312407600.0,873419073300.0
6393898500.0,901067723300.0
6475751400.0,929687917300.0
6558176000.0,959280020300.0
6641416000.0,989885787300.0
6725948400.0,1021385522300.0
6811597300.0,1053427424300.0
6898306000.0,1084920689300.0
6985603000.0,1118227019300.0
7073125400.0,1152663489300.0
7161698000.0,1187598939300.0
7250593300.0,1222831409300.0
7339013600.0,1258297604300.0
7426597400.0,1293760817300.0
7513474000.0,1329220843300.0
7599822300.0,1365246298300.0
7683790000.0,1402013243300.0
7764951000.0,1439053346300.0
7840953000.0,1474061084300.0
