Total CO₂ emissions,Annual Temperature Anomaly
4010292562.0,-0.19
4208960672.0,-0.09
4416374872.0,-0.05
4633495302.0,-0.11
4888528472.0,-0.07
5148632872.0,-0.08
5425929322.0,-0.15
5705861322.0,-0.2
5990086472.0,-0.19
6291567722.0,-0.06
6622530322.0,-0.24
6970316142.0,-0.3
7324805042.0,-0.36
7702985202.0,-0.22
8110711182.0,-0.21
8543570322.0,-0.09
8990123922.0,-0.11
9468284662.0,-0.19
9959836602.0,-0.14
10481790802.0,-0.06
11015129072.0,-0.16
11582020372.0,-0.16
12209321622.0,-0.19
12875802822.0,-0.2
13500035322.0,-0.23
14177149182.0,-0.22
14863929382.0,-0.24
15564333782.0,0.12
16270307352.0,0.12
17026297812.0,-0.14
17880214162.0,-0.18
18763758222.0,-0.1
19697118322.0,-0.16
20689871922.0,-0.19
21694006022.0,-0.3
22705643122.0,-0.29
23733060622.0,-0.28
24811807522.0,-0.34
26006160122.0,-0.1
27200784122.0,-0.05
28501146522.0,-0.34
29862896622.0,-0.22
31235293122.0,-0.26
32590770322.0,-0.33
33993789422.0,-0.33
35481221722.0,-0.22
37017587322.0,-0.11
38626818922.0,-0.09
40323985222.0,-0.26
42177694422.0,-0.15
44129903922.0,-0.05
46146648322.0,-0.11
48214332122.0,-0.22
50468432322.0,-0.36
52748179622.0,-0.43
55175497922.0,-0.25
57710230922.0,-0.16
60598548922.0,-0.34
63374989722.0,-0.41
66265484722.0,-0.42
69299574422.0,-0.37
72379076422.0,-0.4
75615040022.0,-0.33
79121315822.0,-0.32
82301671422.0,-0.14
85436525422.0,-0.08
88822383722.0,-0.3
92362810522.0,-0.43
95856074622.0,-0.3
98885081222.0,-0.23
102407000000.0,-0.23
105497000000.0,-0.16
108737000000.0,-0.23
112413000000.0,-0.25
116100000000.0,-0.23
119827000000.0,-0.2
123488000000.0,-0.07
127485000000.0,-0.17
131463000000.0,-0.16
135734000000.0,-0.32
139673000000.0,-0.11
143193000000.0,-0.05
146366000000.0,-0.12
149708000000.0,-0.24
153342000000.0,-0.1
157157000000.0,-0.15
161342000000.0,-0.11
165817000000.0,-0.01
170023000000.0,0.01
174475000000.0,0.02
179336000000.0,0.15
184307000000.0,0.23
189266000000.0,0.09
194308000000.0,0.08
199426000000.0,0.24
203683000000.0,0.15
208329000000.0,-0.04
213475000000.0,0.0
218900000000.0,-0.07
224081000000.0,-0.06
230010000000.0,-0.13
236392000000.0,-0.03
242859000000.0,0.05
249510000000.0,0.1
256300000000.0,-0.09
263743000000.0,-0.12
271669000000.0,-0.16
279855000000.0,0.06
288272000000.0,0.09
297127000000.0,0.07
306513000000.0,0.01
315928000000.0,0.08
325674000000.0,0.05
335940000000.0,0.07
346764000000.0,-0.17
358074000000.0,-0.08
369935000000.0,-0.03
382172000000.0,0.01
395076000000.0,-0.05
408837000000.0,0.1
423735000000.0,0.05
439238000000.0,-0.06
455461000000.0,0.06
472545000000.0,0.19
489554000000.0,-0.05
506604000000.0,0.01
524589000000.0,-0.05
543084000000.0,0.2
562148000000.0,0.1
581751000000.0,0.2
601233000000.0,0.31
620250000000.0,0.35
639116000000.0,0.17
658102000000.0,0.35
677743000000.0,0.19
698048000000.0,0.16
718656000000.0,0.22
739902000000.0,0.34
761979000000.0,0.4
784358000000.0,0.28
807111000000.0,0.45
830340000000.0,0.42
852907000000.0,0.24
875706000000.0,0.27
898741000000.0,0.33
922265000000.0,0.48
946515000000.0,0.35
970911000000.0,0.49
995242000000.0,0.63
1020080000000.0,0.41
1045580000000.0,0.41
1071250000000.0,0.55
1097500000000.0,0.62
1125150000000.0,0.63
1153770000000.0,0.56
1183360000000.0,0.7
1213970000000.0,0.66
1245470000000.0,0.65
1277510000000.0,0.54
1309000000000.0,0.67
1342310000000.0,0.74
1376740000000.0,0.61
1411680000000.0,0.65
1446910000000.0,0.68
1482380000000.0,0.75
1517840000000.0,0.91
1553300000000.0,1.03
1589330000000.0,0.94
1626090000000.0,0.87
1663130000000.0,0.98
1698140000000.0,1.01
1734960000000.0,0.86
